uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,11
AC,OUTRAS,HOSPITAL,"< 9",F,44
AC,OUTRAS,HOSPITAL,"< 9",M,42
AC,OUTRAS,OUTRO,"< 9",F,4
AC,OUTRAS,OUTRO,"< 9",M,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,2
AC,COVID,HOSPITAL,"< 9",F,2
AC,COVID,HOSPITAL,"< 9",M,8
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,16
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,16
AC,PNEUMONIA,HOSPITAL,"< 9",M,20
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,37
AC,SEPTICEMIA,HOSPITAL,"< 9",M,50
AC,SRAG,HOSPITAL,"< 9",F,3
AL,OUTRAS,DOMICILIO,"< 9",F,12
AL,OUTRAS,DOMICILIO,"< 9",M,19
AL,OUTRAS,HOSPITAL,"< 9",F,207
AL,OUTRAS,HOSPITAL,"< 9",I,4
AL,OUTRAS,HOSPITAL,"< 9",M,238
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
AL,OUTRAS,VIA_PUBLICA,"< 9",F,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,4
AL,COVID,HOSPITAL,"< 9",F,8
AL,COVID,HOSPITAL,"< 9",M,4
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,21
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,33
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,DOMICILIO,"< 9",F,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,14
AL,PNEUMONIA,HOSPITAL,"< 9",M,21
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,69
AL,SEPTICEMIA,HOSPITAL,"< 9",M,86
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",F,21
AM,OUTRAS,DOMICILIO,"< 9",M,33
AM,OUTRAS,HOSPITAL,"< 9",F,268
AM,OUTRAS,HOSPITAL,"< 9",I,8
AM,OUTRAS,HOSPITAL,"< 9",M,301
AM,OUTRAS,IGNORADO,"< 9",M,1
AM,OUTRAS,OUTRO,"< 9",F,4
AM,OUTRAS,OUTRO,"< 9",M,11
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,9
AM,COVID,OUTRO,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,30
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,31
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,40
AM,PNEUMONIA,HOSPITAL,"< 9",M,50
AM,PNEUMONIA,OUTRO,"< 9",F,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",M,2
AM,SEPTICEMIA,HOSPITAL,"< 9",F,112
AM,SEPTICEMIA,HOSPITAL,"< 9",M,153
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,SRAG,HOSPITAL,"< 9",F,4
